Monthly Report for the month of March 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMarch31, 2023","No. of Foliosas on March31, 2023","FundsMobilized forthe month ofMarch 2023(INR in crore)","Repurchase/Redemptionfor themonth ofMarch 2023(INR in crore)","Net AssetsUnderManagementas on March31, 2023 (INRin crore)","Average NetAssets UnderManagementfor themonth March2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onMarch31, 2023","Net AssetsUnderManagement insegregated portfolioas onMarch 31,2023 (INRin crore)"
i,Retirement Fund,26,"27,38,857",221.18,122.41,"17,984.26","18,109.94",-,-
ii,Childrens Fund,10,"29,16,524",113.04,49.48,"14,258.99","14,351.44",-,-
"",Sub Total - IV (i+ii),36,"56,55,381",334.22,171.89,"32,243.25","32,461.38",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,146,"32,10,377","9,778.11","3,041.59","1,28,984.42","1,26,837.08",-,-
ii,GOLD ETF,11,"46,38,319",152.68,425.87,"21,455.35","21,051.48",-,-
iii,Other ETFs,150,"1,17,50,774","17,772.20","8,983.75","4,97,473.35","4,98,315.53",-,-
iv,Fund of funds investing overseas,49,"12,51,851",616.46,470.39,"20,482.42","20,836.39",-,-
"",Sub Total - V (i+ii+iii+iv),356,"2,08,51,321","28,319.44","12,921.60","6,68,395.54","6,67,040.49",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,220","14,06,11,179","9,13,971.06","9,10,798.96","39,58,270.22","40,46,235.83",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,97,"1,22,976","1,532.06",317.56,"19,994.37","19,394.67",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,639.59,639.93,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,114.55","2,096.49",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),112,"1,35,710","1,532.06",317.56,"22,748.51","22,131.08",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,01,577",-,22.99,"3,628.21","3,684.54",-,-
ii,Other Equity Schemes,12,"68,228",-,0.00,"3,252.28","3,292.97",-,-
"",Sub Total (i+ii),31,"3,69,805",-,22.99,"6,880.49","6,977.51",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,143,"5,05,515","1,532.06",340.55,"29,629.00","29,108.59",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,896",128.28,0.42,836.15,826.11,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,896",128.28,0.42,836.15,826.11,-,-
"",,,,,,,,,
"",Grand Total,"1,375","14,11,19,590","9,15,631.40","9,11,139.93","39,88,735.37","40,76,170.53",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  75","18,00,914","1,951.31","1,347.21","59,822.12","59,710.18",-,-
Monthly Report for the month of November 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onNovember 30,2022","No. of Foliosas onNovember30, 2022","FundsMobilized forthe month ofNovember2022 (INR incrore)","Repurchase/Redemptionfor themonth ofNovember2022 (INR incrore)","Net AssetsUnderManagementas onNovember30, 2022 (INRin crore)","Average NetAssets UnderManagementfor themonthNovember2022 (INR incrore)","No. ofsegregatedportfolioscreatedas onNovember 30,2022","Net AssetsUnderManagement insegregated portfolioas onNovember30, 2022(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,19,181","4,08,744.62","4,40,672.87","1,03,324.44","1,41,582.80",-,-
ii,Liquid Fund,36,"17,68,502","3,14,709.78","2,80,433.34","4,09,715.00","4,20,618.92",-,-
iii,Ultra Short Duration Fund,25,"6,30,915","12,753.94","15,635.97","86,350.33","88,205.57",-,-
iv,Low Duration Fund,21,"9,74,624","6,488.19","6,571.94","93,927.03","93,564.75",1,-
v,Money Market Fund,22,"4,24,007","20,369.55","15,427.23","1,11,454.79","1,08,312.11",-,-
vi,Short Duration Fund,25,"5,20,688","2,299.06","4,212.78","94,126.18","94,769.37",-,-
vii,Medium Duration Fund,15,"2,55,023",254.21,717.98,"27,762.27","27,855.71",3,-
viii,Medium to Long Duration Fund,12,"1,07,203",39.20,148.88,"8,867.06","8,878.37",-,-
ix,Long Duration Fund,3,"26,293",187.40,19.11,"3,126.54","3,046.77",-,-
x,Dynamic Bond Fund,23,"2,17,928",915.54,571.07,"22,936.58","22,690.56",-,-
xi,Corporate Bond Fund,20,"6,21,178","5,912.44","2,445.99","1,15,842.87","1,11,606.11",-,-
xii,Credit Risk Fund,15,"2,52,907",292.63,496.73,"25,508.34","25,507.37",3,-
xiii,Banking and PSU Fund,23,"3,06,337",798.77,"2,663.64","75,286.77","76,017.06",-,-
xiv,Gilt Fund,22,"1,69,251",360.03,160.48,"16,262.19","16,103.41",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,652",78.45,36.75,"1,588.97","1,559.12",-,-
xvi,Floater Fund,12,"2,46,435","2,272.13","2,592.61","60,834.84","60,766.31",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",311,"71,83,124","7,76,475.94","7,72,807.35","12,56,914.21","13,01,084.31",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,15,"37,28,778","1,347.05","1,176.56","66,569.84","65,569.45",-,-
ii,Large Cap Fund,30,"1,28,61,604","3,152.02","4,190.86","2,50,691.10","2,46,261.33",-,-
iii,Large & Mid Cap Fund,26,"74,85,176","2,516.49","1,923.57","1,30,047.07","1,27,812.40",-,-
iv,Mid Cap Fund,28,"99,52,029","3,591.89","2,415.58","1,86,335.38","1,83,811.10",-,-
v,Small Cap Fund,23,"97,51,585","3,715.32","2,337.07","1,29,947.56","1,27,191.61",-,-
vi,Dividend Yield Fund,8,"5,90,115",94.77,218.03,"10,511.25","10,363.00",-,-
vii,Value Fund/Contra Fund,22,"43,89,832","1,256.58","1,132.93","91,907.10","89,917.85",-,-
viii,Focused Fund,26,"53,18,079","1,650.07","1,933.60","1,06,999.47","1,05,622.54",-,-
ix,Sectoral/Thematic Funds,123,"1,28,18,711","5,908.79","4,529.11","1,73,537.45","1,68,958.00",-,-
x,ELSS,40,"1,44,65,663","1,653.23","1,907.11","1,58,601.58","1,55,947.40",-,-
xi,Flexi Cap Fund,33,"1,24,81,293","3,401.45","4,264.88","2,52,855.66","2,49,520.53",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),374,"9,38,42,865","28,287.65","26,029.30","15,58,003.46","15,30,975.21",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,16,008",355.44,441.60,"22,783.88","22,646.58",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"52,66,770","2,073.24","2,607.03","1,61,371.30","1,60,071.23",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,26,119","3,091.32","4,685.77","1,96,899.36","1,96,603.25",-,-
iv,Multi Asset Allocation Fund,9,"8,54,585",503.58,417.79,"22,361.82","23,192.73",-,-
v,Arbitrage Fund,26,"4,75,354","4,211.65","8,286.29","73,328.99","87,864.67",-,-
vi,Equity Savings Fund,22,"3,63,184",400.63,674.71,"17,055.03","17,709.12",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),135,"1,19,02,020","10,635.85","17,113.18","4,93,800.37","5,08,087.59",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,31,618",196.66,159.57,"18,232.92","17,949.72",-,-
ii,Childrens Fund,10,"29,12,681",106.25,50.50,"14,451.26","14,233.55",-,-
"",Sub Total - IV (i+ii),36,"56,44,299",302.91,210.07,"32,684.18","32,183.26",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,137,"30,78,798","10,912.42","2,310.69","1,23,711.33","1,18,650.94",-,-
ii,GOLD ETF,11,"46,67,294",57.75,252.49,"20,832.77","20,427.38",-,-
iii,Other ETFs,146,"1,16,77,116","10,066.63","8,099.35","5,01,541.48","4,90,194.78",-,-
iv,Fund of funds investing overseas,49,"12,52,936",611.59,591.80,"20,863.17","20,334.75",-,-
"",Sub Total - V (i+ii+iii+iv),343,"2,06,76,144","21,648.39","11,254.33","6,66,948.75","6,49,607.85",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,199","13,92,48,452","8,37,350.75","8,27,414.23","40,08,350.98","40,21,938.23",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,90,"1,19,915","3,703.03",428.56,"18,672.77","17,082.24",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,640.37,637.20,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,098.48","2,091.39",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),105,"1,32,649","3,703.03",428.56,"21,411.62","19,810.82",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,02,897",-,34.30,"3,760.11","3,718.48",-,-
ii,Other Equity Schemes,12,"68,262",-,-0.00,"3,338.34","3,294.37",-,-
"",Sub Total (i+ii),31,"3,71,159",-,34.30,"7,098.45","7,012.85",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,136,"5,03,808","3,703.03",462.86,"28,510.07","26,823.67",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,890",212.33,125.45,699.76,678.19,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,890",212.33,125.45,699.76,678.19,-,-
"",,,,,,,,,
"",Grand Total,"1,347","13,97,55,150","8,41,266.11","8,28,002.54","40,37,560.81","40,49,440.09",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  79","17,97,812","2,176.28","1,007.94","59,154.08","57,745.11",-,-
Monthly Report for the month of October 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onOctober31, 2022","No. of Foliosas onOctober 31,2022","FundsMobilized forthe month ofOctober 2022(INR in crore)","Repurchase/Redemptionfor themonth ofOctober 2022(INR in crore)","Net AssetsUnderManagementas onOctober 31,2022 (INR incrore)","Average NetAssets UnderManagementfor themonthOctober 2022(INR in crore)","No. ofsegregatedportfolioscreatedas onOctober31, 2022","Net AssetsUnderManagement insegregated portfolioas onOctober31, 2022(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,33,"6,16,496","4,30,592.20","4,38,097.59","1,34,583.00","1,53,046.83",-,-
ii,Liquid Fund,37,"17,57,482","2,51,881.01","2,32,796.41","3,73,212.25","3,88,186.31",-,-
iii,Ultra Short Duration Fund,26,"6,23,263","12,480.85","13,626.14","88,736.88","91,398.26",-,-
iv,Low Duration Fund,22,"9,80,104","8,231.34","10,891.78","93,462.25","97,692.48",1,-
v,Money Market Fund,22,"4,20,525","17,231.02","19,227.34","1,05,882.56","1,10,195.04",-,-
vi,Short Duration Fund,26,"5,25,948","1,921.30","4,387.38","95,272.33","96,398.44",-,-
vii,Medium Duration Fund,15,"2,57,213",246.43,600.32,"27,959.87","28,059.92",3,-
viii,Medium to Long Duration Fund,12,"1,07,949",57.30,133.79,"8,877.93","8,892.16",-,-
ix,Long Duration Fund,3,"26,248",82.43,16.11,"2,904.70","2,866.93",-,-
x,Dynamic Bond Fund,24,"2,17,337",357.10,365.13,"22,144.97","22,154.68",-,-
xi,Corporate Bond Fund,21,"6,29,312","1,208.26","2,742.04","1,11,714.86","1,12,108.41",-,-
xii,Credit Risk Fund,15,"2,55,956",152.90,560.75,"25,534.67","25,658.96",3,-
xiii,Banking and PSU Fund,23,"3,10,655",439.38,"1,976.92","76,457.01","76,977.02",-,-
xiv,Gilt Fund,22,"1,70,202",279.06,132.76,"15,899.36","15,807.50",-,-
xv,Gilt Fund with 10 year constant duration,5,"43,302",59.71,39.52,"1,521.99","1,509.60",-,-
xvi,Floater Fund,12,"2,46,784","2,281.75","4,725.89","60,637.73","61,455.11",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",318,"71,88,776","7,27,502.06","7,30,319.86","12,44,802.35","12,92,407.67",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,15,"36,76,860","1,596.90",707.64,"65,285.79","63,531.17",-,-
ii,Large Cap Fund,31,"1,28,88,577","2,954.92","2,781.30","2,44,691.07","2,37,747.67",-,-
iii,Large & Mid Cap Fund,27,"74,30,902","2,254.88","1,065.00","1,26,797.18","1,23,663.41",-,-
iv,Mid Cap Fund,28,"98,25,553","3,020.27","1,634.94","1,82,767.48","1,80,140.77",-,-
v,Small Cap Fund,24,"95,03,255","2,759.23","1,177.32","1,26,095.84","1,24,856.65",-,-
vi,Dividend Yield Fund,8,"5,91,282",84.28,112.52,"10,294.35","10,062.75",-,-
vii,Value Fund/Contra Fund,22,"43,49,373","1,146.26",744.85,"88,992.37","86,266.41",-,-
viii,Focused Fund,27,"53,38,157","1,544.51","1,284.64","1,05,641.12","1,03,366.13",-,-
ix,Sectoral/Thematic Funds,123,"1,27,14,127","5,380.36","2,694.03","1,67,805.24","1,61,879.37",-,-
x,ELSS,40,"1,44,29,533","1,509.21","1,123.26","1,55,114.69","1,51,305.47",-,-
xi,Flexi Cap Fund,34,"1,24,86,070","3,253.24","2,788.21","2,48,853.10","2,42,752.40",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),379,"9,32,33,689","25,504.06","16,113.71","15,22,338.25","14,85,572.22",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,17,512",322.82,332.42,"22,585.58","22,441.16",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"52,66,180","1,847.64","1,601.80","1,58,811.99","1,56,222.57",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,50,929","2,475.49","2,929.19","1,94,577.93","1,93,479.86",-,-
iv,Multi Asset Allocation Fund,9,"8,47,730",332.66,245.96,"21,698.83","22,426.76",-,-
v,Arbitrage Fund,26,"4,83,889","3,210.14","5,680.25","75,883.88","91,024.88",-,-
vi,Equity Savings Fund,22,"3,65,445",321.89,540.42,"17,129.57","17,721.34",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),137,"1,19,31,685","8,510.64","11,330.04","4,90,687.78","5,03,316.57",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,25,635",206.69,91.55,"17,821.19","17,456.88",-,-
ii,Childrens Fund,10,"29,09,230",96.71,39.76,"14,115.98","13,867.43",-,-
"",Sub Total - IV (i+ii),36,"56,34,865",303.40,131.31,"31,937.17","31,324.31",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,126,"29,98,216","7,359.45","2,283.76","1,12,603.20","1,08,814.75",-,-
ii,GOLD ETF,11,"46,79,130",349.57,202.18,"19,881.72","19,701.55",-,-
iii,Other ETFs,143,"1,16,68,143","10,641.59","5,796.83","4,82,654.62","4,67,230.28",-,-
iv,Fund of funds investing overseas,48,"12,54,452",505.66,312.59,"19,834.61","19,367.59",-,-
"",Sub Total - V (i+ii+iii+iv),328,"2,05,99,941","18,856.27","8,595.36","6,34,974.16","6,15,114.16",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,198","13,85,88,956","7,80,676.45","7,66,490.28","39,24,739.71","39,27,734.93",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,85,"1,00,319",597.80,545.49,"15,249.78","15,209.02",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,634.06,631.08,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,078.42","2,074.19",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),100,"1,13,053",597.80,545.49,"17,962.26","17,914.29",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,04,578",-,20.30,"3,724.85","3,642.84",-,-
ii,Other Equity Schemes,12,"68,272",-,116.66,"3,281.31","3,280.90",-,-
"",Sub Total (i+ii),31,"3,72,850",-,136.96,"7,006.16","6,923.74",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,131,"4,85,903",597.80,682.45,"24,968.42","24,838.03",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,886",1.02,55.56,615.15,635.99,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,886",1.02,55.56,615.15,635.99,-,-
"",,,,,,,,,
"",Grand Total,"1,341","13,90,77,745","7,81,275.27","7,67,228.29","39,50,323.28","39,53,208.95",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  78","18,04,872","1,436.77","1,021.27","56,650.33","56,101.15",-,-
Monthly Report for the month of September 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onSeptember 30,2022","No. of Foliosas onSeptember30, 2022","FundsMobilized forthe month ofSeptember2022 (INR incrore)","Repurchase/Redemptionfor themonth ofSeptember2022 (INR incrore)","Net AssetsUnderManagementas onSeptember30, 2022 (INRin crore)","Average NetAssets UnderManagementfor themonthSeptember2022 (INR incrore)","No. ofsegregatedportfolioscreatedas onSeptember 30,2022","Net AssetsUnderManagement insegregated portfolioas onSeptember 30, 2022(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,11,525","5,52,502.99","5,19,374.66","1,41,319.78","1,33,564.03",-,-
ii,Liquid Fund,37,"17,53,272","2,99,102.84","3,59,073.14","3,52,213.14","4,19,855.51",-,-
iii,Ultra Short Duration Fund,26,"6,21,847","13,749.01","22,202.81","89,480.74","96,696.22",-,-
iv,Low Duration Fund,22,"9,86,513","7,331.80","14,991.65","95,673.48","1,01,883.13",1,-
v,Money Market Fund,22,"4,20,264","21,219.66","32,451.72","1,07,379.30","1,15,590.11",-,-
vi,Short Duration Fund,26,"5,30,585","3,508.97","4,539.83","97,272.50","99,473.39",-,-
vii,Medium Duration Fund,15,"2,58,984",266.21,935.29,"28,203.83","28,727.49",3,-
viii,Medium to Long Duration Fund,12,"1,08,680",43.51,133.09,"8,926.80","9,029.59",-,-
ix,Long Duration Fund,3,"26,259",154.49,43.73,"2,828.43","2,772.25",-,-
x,Dynamic Bond Fund,24,"2,18,018",355.05,"1,108.43","22,083.90","22,614.04",-,-
xi,Corporate Bond Fund,21,"6,32,920",884.83,"3,810.59","1,12,782.60","1,14,265.58",-,-
xii,Credit Risk Fund,15,"2,58,089",158.98,650.95,"25,821.13","26,106.29",3,-
xiii,Banking and PSU Fund,23,"3,14,405",801.10,"5,026.15","77,677.77","80,401.09",-,-
xiv,Gilt Fund,22,"1,71,195",338.07,331.42,"15,700.26","15,731.52",-,-
xv,Gilt Fund with 10 year constant duration,5,"43,862",67.52,66.32,"1,498.84","1,520.00",-,-
xvi,Floater Fund,12,"2,48,588","3,298.09","4,415.74","62,811.57","64,005.65",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",317,"72,05,006","9,03,783.12","9,69,155.52","12,41,674.09","13,32,235.88",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"35,98,855","1,679.53",954.82,"62,435.41","63,079.86",-,-
ii,Large Cap Fund,31,"1,28,73,410","3,491.52","3,217.34","2,33,619.48","2,38,986.66",-,-
iii,Large & Mid Cap Fund,27,"73,60,105","3,100.40","1,631.58","1,21,761.61","1,23,515.65",-,-
iv,Mid Cap Fund,28,"96,72,659","4,398.42","2,247.27","1,78,867.43","1,81,018.53",-,-
v,Small Cap Fund,24,"92,47,406","3,571.19","1,745.71","1,23,153.93","1,23,672.99",-,-
vi,Dividend Yield Fund,8,"5,90,901",165.52,123.66,"9,910.09","10,097.88",-,-
vii,Value Fund/Contra Fund,22,"43,09,767","1,426.12",906.93,"84,511.49","85,867.65",-,-
viii,Focused Fund,27,"53,28,712","1,978.21","1,780.25","1,02,208.64","1,04,212.35",-,-
ix,Sectoral/Thematic Funds,121,"1,26,25,526","8,194.69","3,776.07","1,59,075.50","1,58,772.10",-,-
x,ELSS,39,"1,43,70,815","1,596.31","1,519.75","1,49,371.14","1,52,953.08",-,-
xi,Flexi Cap Fund,34,"1,24,43,255","5,995.47","3,594.27","2,38,885.44","2,44,057.98",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),375,"9,24,21,411","35,597.37","21,497.64","14,63,800.17","14,86,234.75",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,17,464",533.41,403.23,"22,323.94","22,403.46",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"52,49,546","2,811.72","2,051.28","1,54,007.53","1,56,531.42",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,53,840","4,251.69","3,726.99","1,89,849.22","1,94,139.09",-,-
iv,Multi Asset Allocation Fund,9,"8,43,516",513.95,391.33,"20,839.69","22,241.21",-,-
v,Arbitrage Fund,26,"4,88,524","3,678.67","7,701.45","77,689.88","93,556.04",-,-
vi,Equity Savings Fund,22,"3,66,524",572.26,775.39,"17,037.94","17,895.40",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),137,"1,19,19,414","12,361.70","15,049.67","4,81,748.21","5,06,766.61",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,19,117",275.37,122.31,"17,271.05","17,457.13",-,-
ii,Childrens Fund,10,"29,06,735",106.76,46.47,"13,752.04","13,897.07",-,-
"",Sub Total - IV (i+ii),36,"56,25,852",382.13,168.77,"31,023.09","31,354.20",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,105,"29,08,897","8,397.19","6,079.99","1,04,993.95","1,05,686.79",-,-
ii,GOLD ETF,11,"46,45,081",425.79,95.55,"19,861.30","19,429.14",-,-
iii,Other ETFs,141,"1,16,05,124","15,264.57","4,456.97","4,54,854.85","4,59,572.95",-,-
iv,Fund of funds investing overseas,48,"12,56,035",646.44,478.13,"18,945.00","19,861.25",-,-
"",Sub Total - V (i+ii+iii+iv),305,"2,04,15,137","24,733.98","11,110.64","5,98,655.10","6,04,550.13",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,170","13,75,86,820","9,76,858.30","10,16,982.25","38,16,900.66","39,61,141.58",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,87,"1,05,513","1,116.78","2,072.66","15,134.40","16,328.80",-,-
ii,Capital Protection Oriented Schemes,7,"12,653",-,154.85,630.05,689.10,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,067.71","2,062.67",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),102,"1,18,246","1,116.78","2,227.51","17,832.16","19,080.57",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,05,619",-,22.66,"3,611.14","3,679.55",-,-
ii,Other Equity Schemes,13,"73,741",-,-,"3,331.38","3,376.45",-,-
"",Sub Total (i+ii),32,"3,79,360",-,22.66,"6,942.52","7,056.00",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,134,"4,97,606","1,116.78","2,250.17","24,774.68","26,136.57",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,902",3.01,149.97,675.40,712.12,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,902",3.01,149.97,675.40,712.12,-,-
"",,,,,,,,,
"",Grand Total,"1,316","13,80,87,328","9,77,978.09","10,19,382.39","38,42,350.73","39,87,990.26",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  74","17,84,391","1,894.07","1,173.06","55,420.06","55,477.68",-,-
Monthly Report for the month of August 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onAugust31, 2022","No. of Foliosas on August31, 2022","FundsMobilized forthe month ofAugust 2022(INR in crore)","Repurchase/Redemptionfor themonth ofAugust 2022(INR in crore)","Net AssetsUnderManagementas on August31, 2022 (INRin crore)","Average NetAssets UnderManagementfor themonthAugust 2022(INR in crore)","No. ofsegregatedportfolioscreatedas onAugust31, 2022","Net AssetsUnderManagement insegregated portfolioas onAugust 31,2022 (INRin crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,08,994","4,21,677.17","4,38,082.30","1,06,254.59","1,43,593.77",-,-
ii,Liquid Fund,37,"17,52,790","3,33,449.62","2,83,353.80","4,11,291.99","4,21,076.44",-,-
iii,Ultra Short Duration Fund,26,"6,20,888","21,135.38","14,762.97","97,575.87","94,831.89",-,-
iv,Low Duration Fund,22,"9,95,936","11,408.22","8,444.11","1,02,931.84","1,01,662.55",1,-
v,Money Market Fund,22,"4,17,852","25,646.23","19,717.45","1,18,232.40","1,14,710.45",-,-
vi,Short Duration Fund,26,"5,35,625","6,814.83","4,225.18","98,862.56","96,811.39",-,-
vii,Medium Duration Fund,16,"2,62,892",494.93,596.82,"28,969.60","28,878.59",4,130.59
viii,Medium to Long Duration Fund,13,"1,12,528",81.11,141.03,"9,081.81","9,044.05",-,-
ix,Long Duration Fund,3,"26,037",147.14,49.97,"2,732.89","2,661.74",-,-
x,Dynamic Bond Fund,25,"2,22,528","1,263.24",364.59,"22,991.71","22,640.85",1,50.08
xi,Corporate Bond Fund,21,"6,29,857","3,322.28","2,649.58","1,15,412.21","1,14,685.93",-,-
xii,Credit Risk Fund,15,"2,60,902",300.02,388.36,"26,297.90","26,258.41",4,66.37
xiii,Banking and PSU Fund,23,"3,17,833","1,950.03","3,330.25","81,787.11","81,975.21",-,-
xiv,Gilt Fund,22,"1,72,746",652.28,283.60,"15,674.65","15,489.75",-,-
